model,model_alias,evaluation_date,n_runs,alpha,beta,log2_T50,T50_minutes,log2_T80,T80_minutes,aic,evidentiary_status
claude_opus_4_6_inspect,Claude Opus 4.6 (Inspect),,1391,3.91182009313624,-0.41221890333989186,9.489666925611074,718.9097828221434,6.126661614870066,69.87292426236594,4.813971443077432,derived
gpt_5_2,GPT-5.2,,961,4.854808007225956,-0.5738255746443027,8.460424598947696,352.24235848474495,6.044543497832234,66.00683407748228,4.766084983379553,derived
flamingo_2,GPT-5.3-Codex,,1602,4.379061569523354,-0.5182863627362001,8.449115941243143,349.4920773522051,5.774350674796235,54.73344178476086,4.807362548117646,derived
claude_opus_4_5_inspect,Claude Opus 4.5 (Inspect),,1044,4.425022470123684,-0.539982324654434,8.194754287476934,292.9994786740881,5.627458474587019,49.43491596200835,4.807860741453882,derived
gemini_3_pro,Gemini 3 Pro,,1044,5.278916709705293,-0.6759550537441998,7.809567633919905,224.3438202346423,5.758699971283119,54.14288923650104,4.734992007913573,derived
gpt_5_1_codex_max_inspect,GPT-5.1-Codex-Max (Inspect),,1369,5.047979111596827,-0.6467135900088041,7.805586877381231,223.72565274181443,5.661988254224079,50.632375048103555,4.7536559583529705,derived
gpt_5_2025_08_07_inspect,GPT-5 (Inspect),,1056,4.417393063483397,-0.5762845739763724,7.665298123465837,202.9946821578244,5.259725557893868,38.31202980417732,4.807919905872233,derived
o3_inspect,o3 (Inspect),,1044,4.790941434729671,-0.6939701247571387,6.903671013800926,119.73250130565054,4.906042713007665,29.98237395695877,4.738129311295304,derived
human,human,,773,2.9950976966803764,-0.4447921833922375,6.733701284582077,106.42559049295316,3.616977536095259,12.2692702336397,4.920164910419455,derived
claude_4_1_opus_inspect,Claude 4.1 Opus (Inspect),,1043,4.392949843960315,-0.6605296981166006,6.650646982998856,100.47181145937877,4.551885390488032,23.456004666443686,4.763153770479299,derived
claude_4_opus_inspect,Claude 4 Opus (Inspect),,1368,4.013676461237939,-0.6036312353451485,6.649219301819215,100.37243441906446,4.3526278069685125,20.430148804439078,4.808236917358799,derived
claude_3_7_sonnet_inspect,Claude 3.7 Sonnet (Inspect),,1043,3.534775480758252,-0.5974755076648406,5.9161847396447875,60.387780324017115,3.595931702766253,12.09158699682872,4.810334317791846,derived
o1_inspect,o1 (Inspect),,1044,2.9830332631004897,-0.5650611073495202,5.279133927820174,38.83091850047193,2.8257809309691733,7.089976919516052,4.82747293162711,derived
claude_3_5_sonnet_20241022_inspect,Claude 3.5 Sonnet (New) (Inspect),,1016,2.025784881518967,-0.4647163278631946,4.359185937868159,20.52323055509479,1.376087910101004,2.5956356931826683,4.897966929794885,derived
o1_preview,o1-preview,,1661,2.7369331442058753,-0.6298310129526331,4.345503933468116,20.32951558162308,2.1444462964029376,4.421225429751128,4.742786467126194,derived
claude_3_5_sonnet_20240620_inspect,Claude 3.5 Sonnet (Old) (Inspect),,1005,1.7574423482316623,-0.5006615430624519,3.5102403461662344,11.39429964306358,0.7413151504338236,1.671699053321788,4.825919455964969,derived
gpt_4o_inspect,GPT-4o (Inspect),,1044,1.5783443731647027,-0.5626004108140548,2.8054447576405375,6.9907379573807535,0.3413613078720033,1.2669515087388807,4.703020379876561,derived
gpt_4_1106_inspect,GPT-4 1106 (Inspect),,1029,1.1798224024816397,-0.5851988311779314,2.016105193010735,4.044903243694198,-0.352823600523345,,4.61974391655834,derived
gpt_4,GPT-4 0314,,1401,1.2781310739977054,-0.6405432831235556,1.9953859601259207,3.987227600368078,-0.1688617927499543,,4.573181400447815,derived
claude_3_opus_inspect,Claude 3 Opus (Inspect),,1038,1.0456119930809034,-0.5273619622158574,1.9827216750473904,3.952380038673644,-0.6460124021981333,,4.675925498008471,derived
gpt_4_turbo_inspect,GPT-4 Turbo (Inspect),,1032,1.3118395629083588,-0.6903468162810262,1.9002616249834858,3.732808829570094,-0.1078512951108081,,4.52347741511875,derived
