model,model_alias,evaluation_date,t_months,log2_T50,fitted_log2_T50,residual,residual_sign,cumulative_residual,rolling_mean_residual
gpt_4,GPT-4 0314,2023-03-14,0.0,1.9953859601259207,0.039607026612695884,1.955778933513225,1.0,1.955778933513225,1.955778933513225
gpt_4_1106_inspect,GPT-4 1106 (Inspect),2023-11-06,7.786447638603696,2.016105193010735,1.960227358512462,0.05587783449827288,1.0,2.011656768011498,1.005828384005749
claude_3_opus_inspect,Claude 3 Opus (Inspect),2024-03-04,11.696098562628336,1.9827216750473904,2.924589466090825,-0.9418677910434348,-1.0,1.069788976968063,0.356596325656021
gpt_4_turbo_inspect,GPT-4 Turbo (Inspect),2024-04-09,12.878850102669405,1.9002616249834856,3.216329263341423,-1.3160676383579373,-1.0,-0.2462786613898742,-0.734019198301033
gpt_4o_inspect,GPT-4o (Inspect),2024-05-13,13.995893223819301,2.805444757640537,3.491861294078098,-0.686416536437561,-1.0,-0.9326951978274352,-0.9814506552796444
claude_3_5_sonnet_20240620_inspect,Claude 3.5 Sonnet (Old) (Inspect),2024-06-20,15.24435318275154,3.5102403461662344,3.7998088578426175,-0.2895685116763831,-1.0,-1.2222637095038182,-0.7640175621572937
o1_preview,o1-preview,2024-09-12,18.0041067761807,4.345503933468116,4.480535051427346,-0.13503111795922962,-1.0,-1.3572948274630479,-0.3703387220243912
claude_3_5_sonnet_20241022_inspect,Claude 3.5 Sonnet (New) (Inspect),2024-10-22,19.318275154004105,4.359185937868159,4.804690381705786,-0.4455044438376268,-1.0,-1.8027992713006746,-0.2900346911577465
o1_inspect,o1 (Inspect),2024-12-05,20.763860369609855,5.279133927820174,5.161261245012072,0.1178726828081027,1.0,-1.684926588492572,-0.1542209596629179
claude_3_7_sonnet_inspect,Claude 3.7 Sonnet (Inspect),2025-02-24,23.42505133470226,5.916184739644788,5.817675788825917,0.09850895081887145,1.0,-1.5864176376737005,-0.07637427007021753
o3_inspect,o3 (Inspect),2025-04-16,25.100616016427104,6.903671013800926,6.230973834930929,0.6726971788699965,1.0,-0.913720458803704,0.2963596041656569
claude_4_opus_inspect,Claude 4 Opus (Inspect),2025-05-22,26.28336755646817,6.649219301819215,6.522713632181526,0.12650566963768917,1.0,-0.7872147891660148,0.2992372664421857
claude_4_1_opus_inspect,Claude 4.1 Opus (Inspect),2025-08-05,28.747433264887064,6.650646982998856,7.130504876453605,-0.4798578934547493,-1.0,-1.2670726826207641,0.10644831835097879
gpt_5_2025_08_07_inspect,GPT-5 (Inspect),2025-08-07,28.813141683778234,7.665298123465837,7.146712642967526,0.5185854804983103,1.0,-0.7484872021224538,0.05507775222708341
gemini_3_pro,Gemini 3 Pro,2025-11-15,32.09856262833676,7.809567633919905,7.957100968663631,-0.14753333474372532,-1.0,-0.8960205368661791,-0.03626858256672142
gpt_5_1_codex_max_inspect,GPT-5.1-Codex-Max (Inspect),2025-11-19,32.2299794661191,7.805586877381231,7.989516501691475,-0.1839296243102444,-1.0,-1.0799501611764235,0.0623741738147802
claude_opus_4_5_inspect,Claude Opus 4.5 (Inspect),2025-11-24,32.394250513347025,8.194754287476934,8.03003591797628,0.16471836950065466,1.0,-0.9152317916757688,-0.05558152985110502
flamingo_2,GPT-5.3-Codex,2026-01-10,33.93839835728953,8.449115941243143,8.41091843105345,0.03819751018969342,1.0,-0.8770342814860754,0.006328751793367893
gpt_5_2,GPT-5.2,2026-01-15,34.10266940451746,8.460424598947696,8.451437847338255,0.008986751609441512,1.0,-0.8680475298766339,0.07063421043326319
claude_opus_4_6_inspect,Claude Opus 4.6 (Inspect),2026-02-05,34.79260780287474,9.489666925611074,8.621619395734434,0.8680475298766392,1.0,5.329070518200751e-15,0.30507726389192474
