model,model_alias,log2_T50,ci_run_95_lo,ci_run_95_hi,ci_task_95_lo,ci_task_95_hi,ci_family_95_lo,ci_family_95_hi,evidentiary_status
claude_3_5_sonnet_20240620_inspect,Claude 3.5 Sonnet (Old) (Inspect),3.5102403461662344,3.1407001096688387,3.875332515119359,2.8740484300339086,4.217464784778464,2.555069713447949,4.343954189354427,derived
claude_3_5_sonnet_20241022_inspect,Claude 3.5 Sonnet (New) (Inspect),4.359185937868159,3.9790240771947794,4.691930428655269,3.6561764769755865,4.940209789027178,3.4602571588630036,4.997400733085048,derived
claude_3_7_sonnet_inspect,Claude 3.7 Sonnet (Inspect),5.9161847396447875,5.626838007502288,6.196135211766499,5.316113632737451,6.4195036249197495,5.077894356633492,6.4596166371307255,derived
claude_3_opus_inspect,Claude 3 Opus (Inspect),1.9827216750473904,1.656607049843544,2.362764308947046,1.193164279414102,2.770175291115182,0.7864315979163028,2.9778780133178318,derived
claude_4_1_opus_inspect,Claude 4.1 Opus (Inspect),6.650646982998856,6.334679396754809,6.919815152571124,6.157499809536096,7.098683395677966,6.0659007418999105,7.23603904617263,derived
claude_4_opus_inspect,Claude 4 Opus (Inspect),6.649219301819215,6.35498519702979,6.951866664919534,6.103952576829598,7.135000391071086,6.004571212594321,7.232958584238009,derived
claude_opus_4_5_inspect,Claude Opus 4.5 (Inspect),8.194754287476934,7.802669515856013,8.573968471352552,7.5590680233096466,9.043065873422847,7.534100675310947,9.082224845792785,derived
claude_opus_4_6_inspect,Claude Opus 4.6 (Inspect),9.489666925611074,8.924783370705509,10.246457994604762,8.392754155580725,11.060923233752382,8.300387431427158,11.192190168530672,derived
flamingo_2,GPT-5.3-Codex,8.449115941243143,8.08816998502812,8.796275922224375,7.786433879869936,9.3061045486066,7.726150020656757,9.317621828217417,derived
gemini_3_pro,Gemini 3 Pro,7.809567633919905,7.509353224008929,8.114095878946271,7.306549224189325,8.405247892565537,7.1696394493934,8.430900811717278,derived
gpt_4,GPT-4 0314,1.9953859601259207,1.6567812599790828,2.296607796354443,1.3001556244974917,2.641227759622395,1.1387630636676525,2.8329993986478623,derived
gpt_4_1106_inspect,GPT-4 1106 (Inspect),2.016105193010735,1.5446420726195347,2.4470908526226816,1.2827322945384423,2.7956240651015425,1.137385111734093,2.867101169309804,derived
gpt_4_turbo_inspect,GPT-4 Turbo (Inspect),1.9002616249834858,1.5279936585998288,2.225866059716424,1.2835567293093249,2.4916296629507,1.0784859213868383,2.548146599911445,derived
gpt_4o_inspect,GPT-4o (Inspect),2.8054447576405375,2.411660784017351,3.1455744306222564,2.2514158218835094,3.3401410179084166,2.096632204001428,3.5251511889005624,derived
gpt_5_1_codex_max_inspect,GPT-5.1-Codex-Max (Inspect),7.805586877381231,7.53211230416047,8.130014444385056,7.244740891500785,8.397615458794595,7.105706078315938,8.445320964082773,derived
gpt_5_2,GPT-5.2,8.460424598947696,8.05524329203556,8.90522740248124,7.720666557582282,9.496120928524416,7.6371243758570815,9.396832031977556,derived
gpt_5_2025_08_07_inspect,GPT-5 (Inspect),7.665298123465837,7.301422414952007,8.069012425059514,7.056235914917102,8.228915377635476,6.947469452543122,8.549789274430806,derived
human,human,6.733701284582077,6.200444548506517,7.4817647025594916,6.0995941923544725,7.436743462846659,6.0082943530978845,7.577430504035329,derived
o1_inspect,o1 (Inspect),5.279133927820174,4.890397528904293,5.638161376772925,4.766567619578551,5.723239829176997,4.47107085402951,5.99006781046239,derived
o1_preview,o1-preview,4.345503933468116,4.09084611929155,4.558763405517239,3.8368502923037537,4.8045312601350085,3.693506814766041,4.920484749592433,derived
o3_inspect,o3 (Inspect),6.903671013800926,6.586750165989265,7.264243602071743,6.404009373009959,7.381291777429896,6.354031908609083,7.494486996286034,derived
