campaign,lambda_obs,r_retained_fraction,u_useful_fraction,v_incorporation_fraction,h_exchanges_per_unit,mu_eff_capability_units_per_day,evidentiary_status
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.1,100,0.016666666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.1,1000,0.0016666666666666668,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.1,10000,0.00016666666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.1,100000,1.6666666666666667e-05,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.25,100,0.04166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.25,1000,0.004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.25,10000,0.0004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.25,100000,4.166666666666667e-05,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.5,100,0.08333333333333334,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.5,1000,0.008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.5,10000,0.0008333333333333334,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.5,100000,8.333333333333334e-05,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.75,100,0.125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.75,1000,0.0125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.75,10000,0.00125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,0.75,100000,0.000125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,1.0,100,0.16666666666666669,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,1.0,1000,0.016666666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,1.0,10000,0.0016666666666666668,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.1,1.0,100000,0.0001666666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.1,100,0.04166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.1,1000,0.004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.1,10000,0.0004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.1,100000,4.166666666666667e-05,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.25,100,0.10416666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.25,1000,0.010416666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.25,10000,0.0010416666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.25,100000,0.00010416666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.5,100,0.20833333333333331,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.5,1000,0.020833333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.5,10000,0.0020833333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.5,100000,0.00020833333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.75,100,0.3125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.75,1000,0.03125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.75,10000,0.003125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,0.75,100000,0.0003125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,1.0,100,0.41666666666666663,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,1.0,1000,0.041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,1.0,10000,0.004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.25,1.0,100000,0.00041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.1,100,0.08333333333333334,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.1,1000,0.008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.1,10000,0.0008333333333333334,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.1,100000,8.333333333333334e-05,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.25,100,0.20833333333333331,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.25,1000,0.020833333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.25,10000,0.0020833333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.25,100000,0.00020833333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.5,100,0.41666666666666663,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.5,1000,0.041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.5,10000,0.004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.5,100000,0.00041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.75,100,0.625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.75,1000,0.0625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.75,10000,0.00625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.75,100000,0.000625,scenario
